Item,Odds
Scythe of Noctyra,1
Eternal Berserker Ring,3
Snowflake Partyhat,5
White Partyhat,8
Pink Partyhat,11
Yellow Partyhat,14
Red Partyhat,17
Blue Santa Hat,20
Necklace of Restoration,23
Eternal Ring,26
Shield of Amaran,29
Sword of Feroxi,32
Death Princess Rune,35
Cognium Ring,38
Divine Protection Scroll,41
Knife of Copina,44
Kynosian Hat,48
Santa Hat,52
Massive Exp Scroll,57
Mystic Staff,63
Ancient Elven Book,83
Christmas Jumper,123
Soul Gem,173
Ring of Death,253
Ring of Life,333
Ring of Speed,413
Candy Cane Scythe,663
Elven Sword,1063
Elven Plate,1513
Elven Greaves,1963
Elven Helm,2463
Elven Gloves,2963
Elven Boots,3463
